state,country,avg_stability_duration,total_ip_count,total_change_count,recommended_cache_duration
Alabama,United States,66.96409627721529,220539,292443,54.0
Alaska,United States,107.5702687085956,8188,11460,86.0
Alberta,Canada,89.88155142879191,137118,159276,72.0
Arizona,United States,102.53466955390448,602286,785063,82.0
Arkansas,United States,85.59557767387389,97961,122643,68.0
British Columbia,Canada,94.06066490629803,224948,263336,75.0
California,United States,85.6888241789341,2011729,2805487,69.0
Colorado,United States,88.11132459122658,661462,842661,70.0
Connecticut,United States,77.94964708752671,237752,326892,62.0
Delaware,United States,76.33113673810047,111164,139168,61.0
District of Columbia,United States,72.9793020547585,87708,129385,58.0
Florida,United States,81.96022178721688,1092000,1514320,66.0
Georgia,United States,72.76431107056938,673606,978421,58.0
Hawaii,United States,81.0451466728653,23388,40374,65.0
Idaho,United States,96.20632785052275,38232,50587,77.0
Illinois,United States,76.27677118806582,694868,948975,61.0
Indiana,United States,72.07787109101453,284717,390882,58.0
Iowa,United States,64.82477017499795,120144,162431,52.0
Kansas,United States,67.1697916848301,144295,191061,54.0
Kentucky,United States,87.57698844960167,137501,222936,70.0
Louisiana,United States,82.1091835877188,426369,641779,66.0
Maine,United States,98.57063463685995,25123,30817,79.0
Manitoba,Canada,82.04906250068174,40683,48782,66.0
Maryland,United States,83.85629254593276,576473,809316,67.0
Massachusetts,United States,90.79151345392059,387842,499400,73.0
Michigan,United States,78.37897837704053,422951,564697,63.0
Minnesota,United States,74.53723128778752,290497,374460,60.0
Mississippi,United States,57.91396697974441,128076,174939,46.0
Missouri,United States,67.67315839665709,431244,679936,54.0
Montana,United States,101.51278784338626,12924,16136,81.0
Nebraska,United States,79.67818520870581,117444,143178,64.0
Nevada,United States,98.1528673798794,118317,157435,79.0
New Brunswick,Canada,92.79718826829645,17858,20295,74.0
New Hampshire,United States,85.08076500833175,90463,104987,68.0
New Jersey,United States,97.27730653595111,655430,837321,78.0
New Mexico,United States,103.05802065820517,47765,70213,82.0
New York,United States,81.745328156238,1160283,1578247,65.0
Newfoundland and Labrador,Canada,94.14810000899017,10907,12062,75.0
North Carolina,United States,68.7648955424688,504222,667391,55.0
North Dakota,United States,109.25550662460464,8872,10939,87.0
Northwest Territories,Canada,118.60848732527838,603,682,95.0
Nova Scotia,Canada,85.25091897633682,34643,40121,68.0
Nunavut,Canada,124.84115646258502,49,87,100.0
Ohio,United States,72.69384783155265,416694,559660,58.0
Oklahoma,United States,73.86072679731029,143519,216482,59.0
Ontario,Canada,95.17434428586948,623701,701161,76.0
Oregon,United States,91.67382431960775,166880,215898,73.0
Pennsylvania,United States,91.4256841653824,1164623,1591964,73.0
Prince Edward Island,Canada,117.22210551397416,5405,5930,94.0
Quebec,Canada,77.7761722098003,166995,187967,62.0
Québec,Canada,62.78996819522939,12098,13573,50.0
Rhode Island,United States,108.68625755635071,37487,47446,87.0
Saskatchewan,Canada,85.3629891707708,38562,45422,68.0
South Carolina,United States,87.3175890385752,136113,172531,70.0
South Dakota,United States,104.24179946463063,11332,13981,83.0
Tennessee,United States,74.13095622350674,322523,421627,59.0
Texas,United States,69.25186490157643,1405168,2069147,55.0
Utah,United States,77.65412093401932,155149,226355,62.0
Vermont,United States,115.15273131097254,15047,19405,92.0
Virginia,United States,80.68767081855064,527397,722904,65.0
Washington,United States,85.78199344297857,325880,429224,69.0
West Virginia,United States,105.5588684823972,38989,46948,84.0
Wisconsin,United States,70.6527849876574,213254,261375,57.0
Wyoming,United States,95.35302678010484,7247,10153,76.0
Yukon,Canada,99.75662578162577,1386,1597,80.0
